Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
5;133A;12106;Complemento específico singular FCSE;265,03;265.030,00
5;133A;122;Retribuciones en especie;1,25;1.250,00
5;133A;12201;Vestuario;1,25;1.250,00 €
5;133A;13;Laborales;68.183,10;68.183.100,00 €
5;133A;130;Laboral fijo;61.768,28;61.768.280,00 €
5;133A;13000;Retribuciones básicas;45.567,62;45.567.620,00 €
5;133A;13001;Otras remuneraciones;16.200,66;16.200.660,00 €
5;133A;131;Laboral eventual;6.414,82;6.414.820,00 €
5;133A;15;Incentivos al rendimiento;48.549,01;48.549.010,00 €
5;133A;150;Productividad;48.452,78;48.452.780,00 €
5;133A;151;Gratificaciones;96,23;96.230,00 €
5;133A;16;Cuotas, prestaciones y gastos sociales;77.071,87;77.071.870,00 €
5;133A;160;Cuotas sociales;64.448,86;64.448.860,00 €
5;133A;16000;Seguridad Social;64.448,86;64.448.860,00 €
5;133A;162;Gastos sociales del personal;12.623,01;12.623.010,00 €
5;133A;16200;Formación y perfeccionamiento del personal;162,78;162.780,00 €
5;133A;16202;Transporte de personal;8.816,83;8.816.830,00 €
5;133A;16204;Acción social;1.964,15;1.964.150,00 €
5;133A;16205;Seguros;1.036,12;1.036.120,00 €
5;133A;16209;Otros;643,13;643.130,00
5;133A;20;Arrendamientos y cánones;3.405,00;3.405.000,00 €
5;133A;202;Arrendamientos de edificios y otras construcciones;3.375,00;3.375.000,00 €
5;133A;203;Arrendamientos de maquinaria, instalaciones y utillaje;30;30.000,00 €
5;133A;21;Reparaciones, mantenimiento y conservación;33.641,94;33.641.940,00 €
5;133A;212;Edificios y otras construcciones;28.366,67;28.366.670,00
5;133A;213;Maquinaria, instalaciones y utillaje;2.290,96;2.290.960,00
5;133A;214;Elementos de transporte;26,05;26.050,00 €
5;133A;215;Mobiliario y enseres;438,48;438.480,00 €
5;133A;216;Equipos para procesos de la información;2.519,78;2.519.780,00 €
5;133A;22;Material, suministros y otros;261.335,95;261.335.950,00 €
5;133A;220;Material de oficina;3.793,12;3.793.120,00 €
5;133A;22000;Ordinario no inventariable;2.230,92;2.230.920,00 €
5;133A;22001;Prensa, revistas, libros y otras publicaciones;214,15;214.150,00 €
5;133A;22002;Material informático no inventariable;1.348,05;1.348.050,00 €
5;133A;221;Suministros;228.595,83;228.595.830,00 €
5;133A;22100;Energía eléctrica;44.245,88;44.245.880,00 €
5;133A;22101;Agua;7.047,41;7.047.410,00 €
5;133A;22102;Gas;17.326,76;17.326.760,00 €
5;133A;22103;Combustible;14.463,92;14.463.920,00 €
5;133A;22104;Vestuario;7.737,92;7.737.920,00 €
5;133A;22105;Alimentación;72.572,17;72.572.170,00 €
5;133A;22106;Productos farmacéuticos y material sanitario;38.861,40;38.861.400,00 €
5;133A;22108;Material deportivo, didáctico y cultural;1.145,49;1.145.490,00 €
5;133A;22109;Labores Fábrica Nacional Moneda y Timbre;50;50.000,00 €
5;133A;22111;Repuestos maquinaria, utillaje y transporte;7.748,12;7.748.120,00 €
5;133A;22112;Material electrónico, eléctrico y comunicaciones;4.039,46;4.039.460,00 €
5;133A;22199;Otros suministros;13.357,30;13.357.300,00 €
5;133A;222;Comunicaciones;60,6;60.600,00 €
5;133A;22200;Servicios de telecomunicaciones;30;30.000,00 €
5;133A;22201;Postales y mensajería;30,6;30.600,00 €
5;133A;223;Transportes;3.184,57;3.184.570,00 €
5;133A;224;Primas de seguros;7,36;7.360,00 €
5;133A;225;Tributos;2.153,16;2.153.160,00 €
5;133A;22500;Estatales;80,76;80.760,00 €
5;133A;22501;Autonómicos;494,62;494.620,00 €
5;133A;22502;Locales;1.577,78;1.577.780,00 €
5;133A;226;Gastos diversos;2.557,87;2.557.870,00 €
5;133A;22601;Atenciones protocolarias y representativas;2,08;2.080,00 €
5;133A;22602;Publicidad y propaganda;69,67;69.670,00 €
5;133A;22603;Jurídicos, contenciosos;1.722,35;1.722.350,00 €
5;133A;22606;Reuniones, conferencias y cursos;219,85;219.850,00 €
5;133A;22607;Oposiciones y pruebas selectivas;200,87;200.870,00 €
5;133A;22609;Actividades culturales y deportivas;264,28;264.280,00 €
5;133A;22611;Gastos protocolarios actos institucionales;8,32;8.320,00 €
5;133A;44;A entidades del sector público estatal;12.862,34;12.862.340,00 €
5;133A;441;A la UNED para estudios universitarios de reclusos;632,7;632.700,00 €
5;133A;442;A Trabajo Penitenciario y Formación para el Empleo;12.229,64;12.229.640,00 €
5;133A;46;A entidades locales;511;511.000,00 €
5;133A;464;Depósitos municipales;511;511.000,00 €
5;133A;48;A familias e instituciones sin fines de lucro;3.922,62;3.922.620,00 €
5;133A;481–489;Diversas transferencias sociales y religiosas;3.922,62;3.922.620,00 €
5;133A;49;Al exterior;8;8.000,00 €
5;133A;491;A EUROPRIS;8;8.000,00 €
5;133A;63;Inversión de reposición asociada al funcionamiento operativo;12.213,67;12.213.670,00 €
5;133A;630;Inversión de reposición asociada al funcionamiento operativo;12.213,67;12.213.670,00 €
5;133A;35;Intereses de demora y otros gastos financieros;15,62;15.620,00 €
5;133A;352;Intereses de demora;15,62;15.620,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
