;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Organismo: 101 SERVICIO PÚBLICO DE EMPLEO ESTATAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;411;Reserva de gestión directa Servicio Público de Empleo Estatal. Servicios y programas de políticas activas de empleo. Oportunidades de empleo y formación. Consejo de Administración del Patrimonio Nacional (EJE 2);;8.280,00;
v;;415;Al Instituto Nacional de Administración Pública, para la formación del personal al servicio de las Administraciones Públicas (EJE 2);;75.504,78;
v;;42;A la Seguridad Social;;132,50;
v;;420;A la Seguridad Social (Gerencia de Informática) para mantenimiento de la aplicación "RINA";;132,50;
v;;42000;  A la Seguridad Social (Gerencia de Informática) para mantenimiento de la aplicación "RINA";132,50;;
v;;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;2.697,29;
v;;430;Servicios y programas de políticas activas de empleo a desarrollar en el exterior. Oportunidades de empleo y formación. A la Agencia Española de Cooperación Internacional para el Desarrollo (AECID) (EJE 2);;1.614,70;
v;;431;Reserva de gestión directa Servicio Público de Empleo Estatal. Consejo Superior de Investigaciones Científicas. Oportunidades de empleo para desempleados en obras y servicios de interés general y social (EJE 3);;282,09;
v;;432;Al Centro Nacional de Inteligencia. Mejora ciberseguridad;;800,50;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;237.203,98;
 ; ;;;;;
;;;TOTAL Transferencias y libramientos internos;;237.203,98;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL SERVICIO PÚBLICO DE EMPLEO ESTATAL;;27.768.615,60;
;;



