Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros);
—;—;—;TOTAL INVERSIONES REALES;43;43.000,00;
4;334A;75;A Comunidades Autónomas;31.947,50;31.947.500,00;
4;334A;755;Apoyo a la cultura;31.947,50;31.947.500,00;182,6
4;334A;76;A Entidades Locales;22.358,50;22.358.500,00;25
4;334A;761–765;Ayuntamientos, diputaciones, asociaciones culturales;—;—;50
4;334A;768;Ayuntamiento de Barcelona – capitalidad cultural;5.000,00;5.000.000,00;107,6
4;334A;78;A familias e instituciones sin fines de lucro;90;90.000,00;619,1
4;334A;780;Casal Catòlic de Sant Andreu de Palomar;90;90.000,00;
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;54.396,00;54.396.000,00;
4;334A;;Promoción y cooperación cultural;78.674,24;78.674.240,00;146
4;334C;12;Funcionarios;512,84;512.840,00;35
4;334C;120;Retribuciones básicas;265,32;265.320,00;35
4;334C;12000;Sueldos grupo A1 y A;53,07;53.070,00;254
4;334C;12001;Sueldos grupo A2 y B;65,56;65.560,00;254
4;334C;12002;Sueldos grupo C1 y C;51,87;51.870,00;435
4;334C;12003;Sueldos grupo C2 y D;8,19;8.190,00;
4;334C;12005;Trienios;41,69;41.690,00;1.701,67
4;334C;12006;Pagas extraordinarias;44,94;44.940,00;
4;334C;121;Retribuciones complementarias;247,52;247.520,00;
4;334C;12100;Complemento de destino;113,54;113.540,00;
4;334C;12101;Complemento específico;133,98;133.980,00;61,04
4;334C;13;Laborales;141,14;141.140,00;61,04
4;334C;130;Laboral fijo;96,01;96.010,00;
4;334C;13000;Retribuciones básicas;94,89;94.890,00;
4;334C;13001;Otras remuneraciones;1,12;1.120,00;1.306,38
4;334C;131;Laboral eventual;45,13;45.130,00;628,22
4;334C;16;Cuotas, prestaciones y gastos sociales;78,31;78.310,00;
4;334C;160;Cuotas sociales;78,31;78.310,00;
4;334C;16000;Seguridad Social;78,31;78.310,00;
4;334C;47;A empresas privadas;1.500,00;1.500.000,00;
4;334C;471;A Fianzas SGR – avales para entidades culturales;1.500,00;1.500.000,00;
4;334C;77;A empresas privadas;3.940,00;3.940.000,00;
4;334C;771;A Fianzas SGR – fondo de provisiones técnicas;1.000,00;1.000.000,00;678,16
4;334C;772;Ayudas a inversión en contenidos digitales culturales;2.940,00;2.940.000,00;
4;334C;82;Concesión de préstamos al Sector Público;11.000,00;11.000.000,00;
4;334C;821;Préstamos a largo plazo;11.000,00;11.000.000,00;193
4;334C;82111;A ENISA – apoyo a industrias creativas y culturales;11.000,00;11.000.000,00;193
4;334C;;Fomento de las industrias culturales;17.172,29;17.172.290,00;222,11
4;000X;43;A otras entidades del Sector Público Administrativo Estatal;110;110.000,00;
4;000X;430;AECID – actividad cultural 150 años Academia de España en Roma;110;110.000,00;1.782,53
4;000X;;Transferencias y libramientos internos;110;110.000,00;
4;;;Dirección General de Industrias Culturales…;97.658,20;97.658.200,00;Arrendamientos y cánones
5;144A;21;Reparaciones, mantenimiento y conservación;2,07;2.070,00;
5;144A;212;Edificios y otras construcciones;0,75;750;
5;144A;215;Mobiliario y enseres;1,32;1.320,00;
5;144A;22;Material, suministros y otros;63,56;63.560,00;2,07
5;144A;221;Suministros;7,25;7.250,00;0,75
5;144A;22199;Otros suministros;7,25;7.250,00;1,32
5;144A;223;Transportes;15,51;15.510,00;63,56
5;144A;226;Gastos diversos;22,04;22.040,00;7,25
5;144A;22606;Reuniones, conferencias y cursos;14,6;14.600,00;
5;144A;22615;Gastos diversos en el exterior;7,44;7.440,00;15,51
5;144A;227;Trabajos realizados por otras empresas y profesionales;18,76;18.760,00;22,04
5;144A;22706;Estudios y trabajos técnicos;8,95;8.950,00;
5;144A;22715;Trabajos realizados en el exterior;0,31;310;
5;144A;22799;Otros;9,5;9.500,00;18,76
5;144A;23;Indemnizaciones por razón del servicio;74,42;74.420,00;
5;144A;230;Dietas;37,7;37.700,00;
5;144A;231;Locomoción;36,72;36.720,00;
5;332A;12;Funcionarios;8.554,48;8.554.480,00;37,7
5;332A;120;Retribuciones básicas;5.023,72;5.023.720,00;36,72
5;332A;12000;Sueldos grupo A1 y A;1.373,48;1.373.480,00;140,05
5;332A;12001;Sueldos grupo A2 y B;1.250,57;1.250.570,00;
5;332A;12002;Sueldos grupo C1 y C;815,86;815.860,00;
5;332A;12003;Sueldos grupo C2 y D;239,8;239.800,00;100
5;332A;12004;Agrupaciones profesionales y grupo E;21,62;21.620,00;100
5;332A;12005;Trienios;533,32;533.320,00;100
5;332A;12006;Pagas extraordinarias;789,07;789.070,00;
5;332A;121;Retribuciones complementarias;3.530,76;3.530.760,00;
5;332A;12100;Complemento de destino;1.806,95;1.806.950,00;2,77
5;332A;12101;Complemento específico;1.723,81;1.723.810,00;2,77
5;332A;13;Laborales;3.685,18;3.685.180,00;2,62
5;332A;130;Laboral fijo;2.992,03;2.992.030,00;2,62
5;332A;13000;Retribuciones básicas;2.946,93;2.946.930,00;5,39
5;332A;13001;Otras remuneraciones;45,1;45.100,00;
5;332A;131;Laboral eventual;693,15;693.150,00;
5;332A;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.919,98;1.919.980,00;370
5;332A;160;Cuotas sociales;1.919,98;1.919.980,00;370
5;332A;16000;Seguridad Social;1.919,98;1.919.980,00;56
5;332A;21;Reparaciones, mantenimiento y conservación;1.222,81;1.222.810,00;56
5;332A;210;Infraestructura y bienes naturales;134;134.000,00;426
5;332A;212;Edificios y otras construcciones;544,5;544.500,00;
5;332A;213;Maquinaria, instalaciones y utillaje;221,52;221.520,00;671,44
5;332A;215;Mobiliario y enseres;34,9;34.900,00;
5;332A;216;Equipos para procesos de la información;287,28;287.280,00;
5;332A;219;Otro inmovilizado material;0,61;610;
5;332A;22;Material, suministros y otros;7.728,27;7.728.270,00;8.554,48
5;332A;220;Material de oficina;118,37;118.370,00;5.023,72
5;332A;22000;Ordinario no inventariable;41,61;41.610,00;
5;332A;22001;Prensa, revistas, libros y otras publicaciones;7;7.000,00;
5;332A;22002;Material informático no inventariable;69,76;69.760,00;
5;332A;221;Suministros;1.671,04;1.671.040,00;
5;332A;22100;Energía eléctrica;1.380,94;1.380.940,00;
5;332A;22101;Agua;32;32.000,00;
5;332A;22102;Gas;60;60.000,00;
5;332A;22103;Combustible;37,8;37.800,00;3.530,76
5;332A;22104;Vestuario;14,15;14.150,00;
5;332A;22199;Otros suministros;146,15;146.150,00;
5;332A;222;Comunicaciones;66,41;66.410,00;3.685,18
5;332A;22200;Servicios de telecomunicaciones;57,54;57.540,00;2.992,03
5;332A;22201;Postales y mensajería;8,87;8.870,00;
5;332A;223;Transportes;70;70.000,00;
5;332A;225;Tributos;18,5;18.500,00;693,15
5;332A;22502;Locales;18,5;18.500,00;1.919,98
5;332A;226;Gastos diversos;76,22;76.220,00;1.919,98
5;332A;22606;Reuniones, conferencias y cursos;75;75.000,00;
5;332A;22699;Otros;1,22;1.220,00;14.159,64
5;332A;227;Trabajos realizados por otras empresas y profesionales;5.707,73;5.707.730,00;
5;332A;22700;Limpieza y aseo;1.024,50;1.024.500,00;
5;332A;22701;Seguridad;4.003,23;4.003.230,00;1.222,81
5;332A;22706;Estudios y trabajos técnicos;665;665.000,00;134
5;332A;22799;Otros;15;15.000,00;544,5
5;332A;23;Indemnizaciones por razón del servicio;86;86.000,00;221,52
5;332A;230;Dietas;37;37.000,00;34,9
5;332A;231;Locomoción;37;37.000,00;287,28
5;332A;233;Otras indemnizaciones;12;12.000,00;0,61
5;332A;45;A Comunidades Autónomas;20;20.000,00;7.728,27
5;332A;452;Actualización del Censo Guía de Archivos Españoles;20;20.000,00;118,37
5;332A;48;A familias e instituciones sin fines de lucro;227,43;227.430,00;
5;332A;484;Ayudas a instituciones y asociaciones profesionales;227,43;227.430,00;
5;332A;48402–48407;Archiveros sin Fronteras, Fundación Medina Sidonia, UNE CTN, etc.;—;—;
5;332A;49;Al exterior;53,88;53.880,00;1.671,04
5;332A;491;Cuotas a organismos internacionales y cooperación;53,88;53.880,00;
5;332A;62;Inversión nueva asociada al funcionamiento operativo;1.980,00;1.980.000,00;
5;332A;620;Inversión nueva asociada al funcionamiento operativo;1.980,00;1.980.000,00;
5;332A;63;Inversión de reposición asociada al funcionamiento operativo;100;100.000,00;
5;332A;630;Inversión de reposición asociada al funcionamiento operativo;100;100.000,00;
5;332A;64;Gastos de inversiones de carácter inmaterial;700;700.000,00;
5;332A;640;Gastos en inversiones de carácter inmaterial;700;700.000,00;66,41
5;332A;78;A familias e instituciones sin fines de lucro;75;75.000,00;
5;332A;780;Ayudas para mejora de instalaciones y equipamiento de archivos;75;75.000,00;70
5;332A;;Archivos;26.353,03;26.353.030,00;18,5
5;333A;12;Funcionarios;11.271,61;11.271.610,00;
5;333A;120;Retribuciones básicas;6.479,94;6.479.940,00;76,22
5;333A;12000;Sueldos grupo A1 y A;2.213,83;2.213.830,00;
5;333A;12001;Sueldos grupo A2 y B;1.652,79;1.652.790,00;
5;333A;12002;Sueldos grupo C1 y C;914,7;914.700,00;5.707,73
5;333A;12003;Sueldos grupo C2 y D;133,86;133.860,00;
5;333A;12005;Trienios;558,08;558.080,00;
5;333A;12006;Pagas extraordinarias;1.006,68;1.006.680,00;
5;333A;121;Retribuciones complementarias;4.791,67;4.791.670,00;
5;333A;12100;Complemento de destino;2.481,63;2.481.630,00;86
5;333A;12101;Complemento específico;2.310,04;2.310.040,00;37
5;333A;13;Laborales;13.332,06;13.332.060,00;37
5;333A;130;Laboral fijo;10.082,06;10.082.060,00;12
5;333A;13000;Retribuciones básicas;8.471,41;8.471.410,00;9.037,08
5;333A;13001;Otras remuneraciones;1.610,65;1.610.650,00;
5;333A;131;Laboral eventual;3.250,00;3.250.000,00;
5;333A;16;Cuotas, prestaciones y gastos sociales;4.841,96;4.841.960,00;20
5;333A;160;Cuotas sociales;4.765,74;4.765.740,00;20
5;333A;16000;Seguridad Social;4.765,74;4.765.740,00;227,43
5;333A;162;Gastos sociales del personal;76,22;76.220,00;227,43
5;333A;16200;Formación y perfeccionamiento del personal;76,22;76.220,00;
5;333A;20;Arrendamientos y cánones;442;442.000,00;
5;333A;202–209;Edificios, maquinaria, mobiliario, cánones, etc.;—;—;
5;333A;21;Reparaciones, mantenimiento y conservación;2.700,00;2.700.000,00;
5;333A;210–219;Infraestructura, maquinaria, transporte, etc.;—;—;
5;333A;22;Material, suministros y otros;18.522,61;18.522.610,00;53,88
5;333A;220–22199;Oficina, energía, agua, vestuario, etc.;—;—;53,88
5;333A;222;Comunicaciones;17,75;17.750,00;
5;333A;223;Transportes;49,49;49.490,00;
5;333A;224;Primas de seguros;146,63;146.630,00;
5;333A;225;Tributos;136,11;136.110,00;
5;333A;22502;Locales;121,57;121.570,00;
5;333A;226;Gastos diversos;121,84;121.840,00;
5;333A;22602;Publicidad y propaganda;19,77;19.770,00;
5;333A;22606;Reuniones, conferencias y cursos;91,38;91.380,00;
5;333A;22699;Otros;10,69;10.690,00;301,31
5;333A;227;Trabajos realizados por otras empresas y profesionales;14.379,18;14.379.180,00;
5;333A;22700;Limpieza y aseo;2.400,00;2.400.000,00;
5;333A;22701;Seguridad;9.583,54;9.583.540,00;1.980,00
5;333A;22706;Estudios y trabajos técnicos;2.354,03;2.354.030,00;1.980,00
5;333A;22799;Otros;41,61;41.610,00;100
5;333A;23;Indemnizaciones por razón del servicio;100;100.000,00;100
5;333A;230;Dietas;55;55.000,00;700
5;333A;231;Locomoción;45;45.000,00;700
5;333A;35;Intereses de demora y otros gastos financieros;32;32.000,00;2.780,00
5;333A;352;Intereses de demora;5;5.000,00;
5;333A;359;Otros gastos financieros;27;27.000,00;
5;333A;44;A entidades del Sector Público Estatal;18.706,85;18.706.850,00;75
5;333A;45;A Comunidades Autónomas;3.185,05;3.185.050,00;75
5;333A;46;A Entidades Locales;1.893,96;1.893.960,00;75
5;333A;48;A familias e instituciones sin fines de lucro;1.641,02;1.641.020,00;
5;333A;49;Al exterior;59,75;59.750,00;26.353,03
5;333A;62;Inversión nueva asociada al funcionamiento operativo;586,4;586.400,00;
5;333A;63;Inversión de reposición asociada al funcionamiento operativo;1.275,00;1.275.000,00;
5;333A;64;Gastos de inversiones de carácter inmaterial;568,09;568.090,00;
5;333A;76;A Entidades Locales;7.157,00;7.157.000,00;11.271,61
5;333A;78;A familias e instituciones sin fines de lucro;251;251.000,00;6.479,94
5;333A;;Museos;86.566,36;86.566.360,00;
5;336B;10;Altos cargos;61,04;61.040,00;
5;336B;100;Retribuciones básicas y otras remuneraciones;61,04;61.040,00;288,54
5;336B;10000;Retribuciones básicas;18,91;18.910,00;148,31
5;336B;10001;Retribuciones complementarias;42,13;42.130,00;
5;336B;12;Funcionarios;2.053,39;2.053.390,00;
5;336B;120;Retribuciones básicas;1.010,73;1.010.730,00;
5;336B;12000;Sueldos grupo A1 y A;311,49;311.490,00;
5;336B;12001;Sueldos grupo A2 y B;304,2;304.200,00;
5;336B;12002;Sueldos grupo C1 y C;59,48;59.480,00;
5;336B;12003;Sueldos grupo C2 y D;61,31;61.310,00;140,23
5;336B;12005;Trienios;84,82;84.820,00;
5;336B;12006;Pagas extraordinarias;189,43;189.430,00;
5;336B;121;Retribuciones complementarias;1.042,66;1.042.660,00;24,14
5;336B;12100;Complemento de destino;495,82;495.820,00;24,14
5;336B;12101;Complemento específico;546,84;546.840,00;
5;336B;13;Laborales;157,55;157.550,00;15,08
5;336B;130;Laboral fijo;157,55;157.550,00;15,08
5;336B;13000;Retribuciones básicas;149,03;149.030,00;
5;336B;13001;Otras remuneraciones;8,52;8.520,00;327,76
5;336B;16;Cuotas, prestaciones y gastos sociales;297,66;297.660,00;
5;336B;160;Cuotas sociales;297,66;297.660,00;
5;336B;16000;Seguridad Social;297,66;297.660,00;17
5;336B;20;Arrendamientos y cánones;15;15.000,00;17
5;336B;209;Cánones;15;15.000,00;14
5;336B;22;Material, suministros y otros;1.745,64;1.745.640,00;14
5;336B;220;Material de oficina;14,35;14.350,00;748,29
5;336B;22000;Ordinario no inventariable;6,65;6.650,00;7,95
5;336B;22001;Prensa, revistas, libros y otras publicaciones;3,9;3.900,00;
5;336B;22002;Material informático no inventariable;3,8;3.800,00;
5;336B;223;Transportes;110;110.000,00;
5;336B;224;Primas de seguros;2;2.000,00;3
5;336B;226;Gastos diversos;469,69;469.690,00;
5;336B;22601;Atenciones protocolarias y representativas;2,34;2.340,00;7
5;336B;22603;Jurídicos, contenciosos;209;209.000,00;
5;336B;22606;Reuniones, conferencias y cursos;240;240.000,00;95
5;336B;22699;Otros;18,35;18.350,00;2
5;336B;227;Trabajos realizados por otras empresas y profesionales;1.149,60;1.149.600,00;
5;336B;22706;Estudios y trabajos técnicos;1.149,60;1.149.600,00;96,02
5;336B;23;Indemnizaciones por razón del servicio;290;290.000,00;
5;336B;230;Dietas;155;155.000,00;
5;336B;231;Locomoción;55;55.000,00;
5;336B;233;Otras indemnizaciones;80;80.000,00;537,32
5;336B;35;Intereses de demora y otros gastos financieros;5;5.000,00;
5;336B;352;Intereses de demora;5;5.000,00;779,29
5;336B;44;A entidades del Sector Público Estatal;450;450.000,00;
5;336B;45;A Comunidades Autónomas;640;640.000,00;
5;336B;48;A familias e instituciones sin fines de lucro;425;425.000,00;100
5;336B;49;Al exterior;58,83;58.830,00;100
5;336B;62;Inversión nueva asociada al funcionamiento operativo;6.724,50;6.724.500,00;300
5;336B;63;Inversión de reposición asociada al funcionamiento operativo;63;63.000,00;60
5;336B;64;Gastos de inversiones de carácter inmaterial;150;150.000,00;60
5;336B;76;A Entidades Locales;660;660.000,00;
5;336B;;Protección del Patrimonio Histórico;13.796,61;13.796.610,00;
5;337B;12;Funcionarios;1.466,44;1.466.440,00;
5;337B;120;Retribuciones básicas;746,89;746.890,00;27,24
5;337B;12000;Sueldos grupo A1 y A;284,17;284.170,00;27,24
5;337B;12001;Sueldos grupo A2 y B;144,91;144.910,00;27,24
5;337B;12002;Sueldos grupo C1 y C;85,15;85.150,00;
5;337B;12003;Sueldos grupo C2 y D;21,65;21.650,00;1.594,29
5;337B;12005;Trienios;76,74;76.740,00;
5;337B;12006;Pagas extraordinarias;134,27;134.270,00;
5;337B;121;Retribuciones complementarias;719,55;719.550,00;
5;337B;12100;Complemento de destino;346,25;346.250,00;1.466,44
5;337B;12101;Complemento específico;373,3;373.300,00;746,89
5;337B;13;Laborales;2.340,18;2.340.180,00;
5;337B;130;Laboral fijo;2.233,59;2.233.590,00;
5;337B;13000;Retribuciones básicas;2.210,48;2.210.480,00;
5;337B;13001;Otras remuneraciones;23,11;23.110,00;
5;337B;131;Laboral eventual;106,59;106.590,00;
5;337B;16;Cuotas, prestaciones y gastos sociales;858,88;858.880,00;
5;337B;160;Cuotas sociales;858,88;858.880,00;719,55
5;337B;16000;Seguridad Social;858,88;858.880,00;
5;337B;20;Arrendamientos y cánones;24;24.000,00;
5;337B;21;Reparaciones, mantenimiento y conservación;548;548.000,00;2.340,18
5;337B;22;Material, suministros y otros;921,5;921.500,00;2.233,59
5;337B;23;Indemnizaciones por razón del servicio;350;350.000,00;
5;337B;48;A familias e instituciones sin fines de lucro;70;70.000,00;
5;337B;49;Al exterior;60;60.000,00;106,59
5;337B;60;Inversión nueva en infraestructuras;4.000,00;4.000.000,00;858,88
5;337B;62;Inversión nueva asociada al funcionamiento;791,93;791.930,00;
5;337B;63;Inversión de reposición asociada al funcionamiento;13.141,00;13.141.000,00;4.665,50
5;337B;64;Gastos de inversiones de carácter inmaterial;700;700.000,00;
5;337B;75;A Comunidades Autónomas;78;78.000,00;
5;337B;76;A Entidades Locales;12.943,00;12.943.000,00;24
5;337B;78;A familias e instituciones sin fines de lucro;499;499.000,00;22
5;337B;;Conservación y restauración de bienes culturales;38.791,93;38.791.930,00;1
5;337C;10;Altos cargos;61,04;61.040,00;1
5;337C;100;Retribuciones básicas y otras remuneraciones;61,04;61.040,00;548
5;337C;10000;Retribuciones básicas;18,91;18.910,00;300
5;337C;10001;Retribuciones complementarias;42,13;42.130,00;154
5;337C;12;Funcionarios;2.053,39;2.053.390,00;1
5;337C;120;Retribuciones básicas;1.010,73;1.010.730,00;23
5;337C;121;Retribuciones complementarias;1.042,66;1.042.660,00;70
5;337C;13;Laborales;157,55;157.550,00;921,5
5;337C;16;Cuotas, prestaciones y gastos sociales;297,66;297.660,00;28,4
5;337C;20;Arrendamientos y cánones;15;15.000,00;
5;337C;22;Material, suministros y otros;1.745,64;1.745.640,00;
5;337C;23;Indemnizaciones por razón del servicio;290;290.000,00;
5;337C;35;Intereses de demora y otros gastos financieros;5;5.000,00;
5;337C;44–49;A entidades públicas, privadas y al exterior;1.573,83;1.573.830,00;
5;337C;62–64;Inversiones nuevas, reposición e inmateriales;6.937,50;6.937.500,00;
5;337C;76;A Entidades Locales;660;660.000,00;
5;337C;;Protección del Patrimonio Histórico;13.796,61;13.796.610,00;10,1
5;;;Dirección General de Patrimonio Cultural y Bellas Artes;167.773,66;167.773.660,00;
6;144A;12;Funcionarios;315,39;315.390,00;
6;144A;120;Retribuciones básicas;152,49;152.490,00;
6;144A;121;Retribuciones complementarias;162,9;162.900,00;
6;144A;16;Cuotas, prestaciones y gastos sociales;18,28;18.280,00;315,39
6;144A;20–23;Arrendamientos, suministros, transportes, etc.;816,55;816.550,00;152,49
6;144A;48–49;A familias, instituciones sin fines de lucro y al exterior;1.032,49;1.032.490,00;
6;144A;;Cooperación, promoción y difusión cultural;2.182,71;2.182.710,00;
6;331M;10;Altos cargos;71,16;71.160,00;
6;331M;12;Funcionarios;500,89;500.890,00;162,9
6;331M;16;Cuotas, prestaciones y gastos sociales;52,03;52.030,00;
6;331M;22–23;Material, suministros, estudios, dietas, etc.;3.840,85;3.840.850,00;
6;331M;48;A familias e instituciones sin fines de lucro;45;45.000,00;18,28
6;331M;62;Inversión nueva asociada al funcionamiento operativo;27,32;27.320,00;
6;331M;;Dirección y Servicios Generales de Cultura;4.537,25;4.537.250,00;333,67
6;;;Secretaría de Estado de Cultura;6.719,96;6.719.960,00;
v;;;Ministerio de Cultura;1.043.455,86;1.043.455.860,00;
